,StockType,Title,Exterior,Interior,Transmission,Drivetrain,Price,Mileage
1773,USED,2017 Cadillac ATS 3.6L Premium Luxury,Black,Brown,Automatic,AWD,28995,7694
1774,USED,2000 Mercury Cougar Base,Blue,Gray,Automatic,FWD,5998,50059
1775,USED,2016 Lexus IS 350 F Sport,Black,Black,Automatic,AWD,24999,37000
1776,USED,2015 Scion tC GS,Red,Other,Automatic,FWD,12188,36277
1777,NEW,2020 INFINITI Q60 Luxe,Blue,Gray,Automatic,RWD,SRP,$48230
1778,NEW,2019 INFINITI Q60 3.0t LUXE,Blue,Gray,Automatic,AWD,43222,$6000
1779,USED,2002 Pontiac Grand Am GT1,Silver,Other,Automatic,FWD,2888,207699
1780,USED,2005 Chrysler Crossfire Limited,Black,Gray,Manual,RWD,7000,72635
1781,USED,2007 Mitsubishi Eclipse GS,Silver,Black,Manual,FWD,6950,106551
1782,USED,2007 MINI Cooper,Blue,Gray,Automatic,4x2/2-wheel drive,5350,103100
1783,NEW,2020 Audi R8 5.2 V10,Gray,Red,Automatic,AWD,187645,0
1784,USED,2003 Acura CL 3.2,Green,Beige,Automanual,FWD,3500,155200
1785,USED,2012 Scion tC SPORTS,Yellow,Gray,Manual,FWD,8995,61558
1786,BMW CERTIFIED,2017 BMW M240 i xDrive,Silver,Red,Automatic,AWD,34634,30022
1787,NEW,2020 BMW 840 840i,Black,Black,Automatic,AWD,96745,0
1788,USED,2005 Lotus Elise,Red,Other,Manual,RWD,35999,30335
1789,NEW,2020 Jaguar F-TYPE P300,Red,Black,Automatic,RWD,67967,0
1790,NEW,2019 Cadillac ATS 2.0L Turbo Luxury,Red,Black,Automatic,AWD,42925,0
1791,USED,2012 Mercedes-Benz CLS 550 4MATIC,White,Black,Automatic,AWD,18988,$510
1792,NEW,2020 BMW 440 i xDrive,Black,Black,Other / Unknown,AWD,58060,0
1793,USED,1993 Ford Thunderbird LX,Other,Other,Automatic,Unknown,4500,69710
1794,USED,2013 Scion tC Release Series 8.0,Silver,Gray,Automatic,FWD,8995,64291
1795,USED,2013 Subaru BRZ Limited,Gray,Black,Automatic,RWD,14995,38837
1796,USED,2010 Ferrari 599 GTB Fiorano F1A,Black,Beige,Other / Unknown,RWD,184995,7135
1797,USED,2011 Ford Shelby GT500 Base,Yellow,Black,Manual,RWD,34995,25713
1798,USED,2006 Chevrolet Monte Carlo SS,Red,Black,Automatic,FWD,10990,87147
1799,NEW,2019 Lexus RC 300,Gray,Black,Automatic,AWD,44336,0
1800,USED,2006 Ferrari F430 Berlinetta,Red,Other,Manual,RWD,115900,6747
1801,USED,2008 Dodge Viper SRT10,Green,Other,Manual,RWD,55900,33140
1802,NEW,2020 Chevrolet Camaro LT1,Gray,Black,Automatic,RWD,33118,0
1803,USED,2017 Acura NSX Base,Silver,Red,Automatic,AWD,118841,3270
1804,USED,2004 Lamborghini Murcielago,Black,Black,Automatic,AWD,209995,218
1805,USED,2015 BMW M235 i xDrive,Gray,Black,Automatic,AWD,21555,64977
1806,USED,2016 BMW i8 Base,White,Other,Automatic,AWD,64800,$1000
1807,USED,2016 Dodge Viper ACR,Blue,Other,Manual,RWD,205000,306
1808,USED,2017 Rolls-Royce Wraith Base,Blue,Other,Automatic,RWD,229911,3962
1809,USED,2008 Pontiac G6 GXP,Red,Black,Automatic,FWD,5900,74634
1810,USED,2012 Ferrari FF Base,Red,Black,Automatic,AWD,124900,$5000
1811,USED,2014 BMW 435 i xDrive,Black,Black,Automatic,AWD,20995,64347
1812,USED,1971 Volkswagen Beetle (Pre-1980),Blue,Black,Manual,Unknown,14900,87797
1813,USED,1987 Porsche 944 S,Red,Beige,Manual,RWD,12900,91089
1814,USED,2014 Honda CR-Z EX,Gray,Other,CVT,FWD,12999,$951
1815,NEW,2020 Toyota Supra 3.0 Premium,Other,Black,Automatic,RWD,52275,0
1816,NEW,2020 BMW M8 Competition,Black,Other,Automatic,AWD,156695,0
1817,USED,2017 BMW M2 Base,Blue,Black,Manual,RWD,42801,22831
1818,USED,2009 BMW 128 i,Black,Beige,Automatic,RWD,9500,64721
1819,NEW,2019 Ford Mustang Bullitt,Green,Black,Manual,RWD,46612,0
1820,USED,2012 Scion tC,Black,Black,Automatic,FWD,10495,54753
1821,USED,1957 Chevrolet Bel Air,Black,Red,Automatic,Unknown,39995,59541
1822,NEW,2019 Aston Martin DBS Superleggera,Silver,Black,Automatic,RWD,331771,0
1823,NEW,2019 BMW M850 i xDrive,White,Black,Automatic,AWD,118052,0
1824,USED,2020 Toyota Supra LAUNCH EDITION,Red,Black,Automatic,RWD,59900,43
1825,USED,2015 Hyundai Genesis Coupe 3.8 Base,Silver,Black,Automatic,RWD,12400,66088
1826,USED,2016 BMW 435 i xDrive,White,Black,Automatic,AWD,23900,54924
1827,USED,2003 Hyundai Tiburon GT V6,Red,Black,Manual,FWD,2200,118657
1828,USED,2013 BMW 640 Gran Coupe i,Blue,Other,Automatic,RWD,19499,86589
1829,USED,2013 MINI Coupe Cooper S,Blue,Black,Manual,FWD,8495,89975
1830,USED,2015 Porsche Cayman S,Silver,Black,Automanual,RWD,52500,11400
1831,USED,2016 Lexus RC 300 Base,Black,Red,Automatic,AWD,23690,$800
1832,USED,2017 BMW 430 i xDrive,Blue,Brown,Automatic,AWD,20985,33090
1833,NEW,2020 Mercedes-Benz AMG GT 63 S 4-Door,Black,Black,Automatic,AWD,174940,0
1834,NEW,2020 Toyota 3.0 Premium,Gray,Black,Automatic,RWD,56983,0
1835,USED,2013 Subaru BRZ Limited,Blue,Black,Manual,RWD,13799,$600
1836,USED,2015 BMW M4 Base,Red,Other,Automatic,RWD,40895,48221
1837,USED,2013 BMW 640 Gran Coupe i,Black,Other,Automatic,RWD,17981,69693
1838,USED,2015 BMW M235 i xDrive,Silver,Black,Automatic,AWD,21499,70918
1839,USED,2007 Chevrolet Monte Carlo LT,Red,Beige,Automatic,FWD,3855,127363
1840,NEW,2020 BMW M8 Competition,Black,White,Automatic,AWD,156695,0
1841,USED,2013 Hyundai Genesis Coupe 2.0T Premium,Silver,Gray,Automatic,RWD,12995,60000
1842,NEW,2020 Subaru BRZ Limited,Gray,Black,Manual,RWD,29031,0
1843,USED,2014 Chevrolet Camaro 2SS,Red,Black,Automatic,RWD,21990,41663
1844,NEW,2020 Mercedes-Benz AMG GT R,Gray,Black,Automatic,RWD,181760,0
1845,NEW,2019 Audi S5 3.0T Premium Plus,Black,Red,Automatic,AWD,60828,0
